Name,Team,IP,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,Pace,playerid
Masahiro Tanaka,NYY,561.1,0.348,0.675,0.506,0.538,0.843,0.735,0.485,,15764
Shane Bieber,CLE,490.1,0.331,0.618,0.473,0.429,0.837,0.693,0.496,,19427
Jacob deGrom,NYM,782.1,0.331,0.689,0.52,0.492,0.777,0.691,0.527,,10954
Michael Pineda,- - -,335.1,0.327,0.682,0.509,0.547,0.857,0.76,0.513,,5372
Stephen Strasburg,WSN,541,0.327,0.613,0.471,0.527,0.834,0.729,0.504,,10131
Chris Sale,BOS,519.2,0.325,0.621,0.486,0.503,0.774,0.691,0.543,,10603
Carlos Carrasco,CLE,519.2,0.324,0.655,0.492,0.435,0.839,0.708,0.508,,6632
Corey Kluber,- - -,508.2,0.323,0.629,0.482,0.448,0.846,0.718,0.52,,2429
Justin Verlander,- - -,649,0.322,0.664,0.506,0.561,0.8,0.73,0.537,,8700
Max Scherzer,WSN,766,0.321,0.674,0.513,0.49,0.768,0.689,0.544,,3137
Joe Musgrove,- - -,499.2,0.319,0.655,0.501,0.526,0.854,0.758,0.54,,12970
Patrick Corbin,- - -,753.1,0.319,0.647,0.472,0.485,0.858,0.723,0.465,,9323
Aaron Nola,PHI,760.2,0.317,0.595,0.461,0.559,0.833,0.742,0.516,,16149
Miles Mikolas,STL,388.2,0.316,0.657,0.504,0.653,0.869,0.808,0.551,,9803
Clayton Kershaw,LAD,678.1,0.315,0.691,0.507,0.506,0.838,0.737,0.512,,2036
Kenta Maeda,- - -,517.1,0.314,0.669,0.489,0.499,0.82,0.715,0.492,,18498
Pablo Lopez,MIA,328.1,0.312,0.666,0.492,0.619,0.847,0.776,0.508,,17085
Luis Castillo,CIN,628.1,0.308,0.668,0.483,0.519,0.799,0.707,0.485,,15689
Alex Wood,- - -,424,0.308,0.632,0.475,0.531,0.863,0.759,0.516,,13781
Dylan Bundy,- - -,633.2,0.307,0.646,0.485,0.541,0.835,0.747,0.526,,12917
Nathan Eovaldi,- - -,318.1,0.306,0.67,0.511,0.557,0.85,0.773,0.563,,9132
Gerrit Cole,- - -,808.2,0.305,0.644,0.486,0.514,0.802,0.717,0.533,,13125
Zack Greinke,- - -,806.1,0.305,0.619,0.454,0.598,0.847,0.759,0.475,,1943
Noah Syndergaard,NYM,382.1,0.304,0.682,0.504,0.505,0.833,0.74,0.531,,11762
James Paxton,- - -,468.2,0.304,0.68,0.503,0.49,0.821,0.727,0.53,,11828
Kyle Hendricks,CHC,714.1,0.304,0.602,0.464,0.668,0.851,0.796,0.539,,12049
Kevin Gausman,- - -,624.2,0.304,0.678,0.489,0.549,0.831,0.742,0.495,,14107
Andrew Heaney,LAA,451.2,0.303,0.653,0.486,0.532,0.824,0.737,0.522,,15423
Jose Berrios,MIN,714.2,0.302,0.631,0.47,0.602,0.852,0.773,0.509,,14168
Jordan Montgomery,NYY,333.1,0.301,0.66,0.482,0.534,0.835,0.741,0.503,,16511
Hyun-Jin Ryu,- - -,560.1,0.298,0.644,0.472,0.599,0.841,0.765,0.503,,14444
Blake Snell,- - -,547.1,0.297,0.634,0.45,0.444,0.824,0.687,0.455,,13543
Jameson Taillon,- - -,450,0.295,0.657,0.485,0.584,0.867,0.785,0.524,,11674
Jordan Zimmermann,DET,407.1,0.293,0.648,0.48,0.651,0.89,0.821,0.527,,4505
Madison Bumgarner,- - -,560.2,0.293,0.667,0.492,0.606,0.861,0.79,0.531,,5524
Kyle Gibson,- - -,683.2,0.292,0.641,0.449,0.523,0.876,0.75,0.45,,10123
Eduardo Rodriguez,BOS,558.1,0.292,0.655,0.47,0.587,0.834,0.756,0.492,,13164
Matthew Boyd,DET,620.1,0.292,0.661,0.485,0.579,0.834,0.761,0.523,,15440
Walker Buehler,LAD,484,0.291,0.66,0.491,0.559,0.837,0.761,0.541,,19374
Sandy Alcantara,MIA,393,0.291,0.677,0.492,0.571,0.856,0.776,0.522,,18684
Zach Eflin,PHI,512,0.29,0.652,0.485,0.641,0.864,0.803,0.541,,13774
Jake Odorizzi,- - -,527,0.289,0.687,0.481,0.651,0.822,0.769,0.482,,6397
Anibal Sanchez,- - -,437,0.289,0.65,0.469,0.618,0.856,0.783,0.499,,3284
CC Sabathia,NYY,408,0.288,0.654,0.47,0.615,0.857,0.782,0.495,,404
Yu Darvish,- - -,592,0.287,0.636,0.474,0.493,0.82,0.728,0.536,,13074
Alex Cobb,- - -,469,0.286,0.602,0.447,0.643,0.897,0.817,0.508,,6562
Ivan Nova,- - -,554,0.286,0.681,0.489,0.636,0.9,0.825,0.513,,1994
Frankie Montas,OAK,318.2,0.286,0.667,0.487,0.556,0.848,0.767,0.529,,14309
Lance McCullers Jr.,HOU,391.1,0.286,0.595,0.436,0.447,0.853,0.717,0.487,,14120
Chris Archer,- - -,471.1,0.285,0.657,0.474,0.493,0.815,0.72,0.507,,6345
Zack Godley,- - -,397.1,0.285,0.615,0.44,0.466,0.869,0.731,0.471,,14862
Johnny Cueto,SFG,362.2,0.284,0.669,0.472,0.657,0.859,0.797,0.489,,6893
Mike Leake,- - -,568.2,0.284,0.665,0.492,0.666,0.898,0.838,0.547,,10130
Yusei Kikuchi,SEA,312,0.283,0.649,0.477,0.551,0.861,0.775,0.53,,20633
Tyler Mahle,CIN,406.2,0.282,0.62,0.459,0.601,0.836,0.767,0.524,,16358
Marco Gonzales,- - -,534,0.281,0.641,0.474,0.682,0.87,0.818,0.535,,15467
Robbie Ray,- - -,620.2,0.281,0.626,0.449,0.442,0.81,0.692,0.486,,11486
Luis Severino,NYY,396.2,0.281,0.669,0.492,0.528,0.819,0.744,0.545,,15890
German Marquez,COL,732,0.281,0.648,0.479,0.473,0.855,0.752,0.541,,15038
Homer Bailey,- - -,368.2,0.28,0.671,0.485,0.604,0.871,0.797,0.522,,8362
Sean Manaea,OAK,519.2,0.28,0.663,0.493,0.542,0.856,0.777,0.556,,15873
Jack Flaherty,STL,470,0.28,0.65,0.465,0.495,0.804,0.711,0.5,,17479
Zack Wheeler,- - -,660.2,0.28,0.676,0.496,0.614,0.841,0.783,0.545,,10310
Lucas Giolito,CHW,580.2,0.279,0.667,0.479,0.542,0.803,0.729,0.515,,15474
Jordan Lyles,- - -,356,0.279,0.655,0.467,0.605,0.878,0.796,0.499,,7593
Michael Fulmer,DET,337.1,0.278,0.675,0.489,0.629,0.861,0.799,0.531,,13218
David Price,- - -,362.2,0.277,0.659,0.478,0.597,0.849,0.779,0.526,,3184
Dallas Keuchel,- - -,623.2,0.276,0.652,0.449,0.632,0.876,0.795,0.46,,9434
J.A. Happ,- - -,618,0.276,0.687,0.478,0.647,0.856,0.795,0.491,,7410
Trevor Williams,- - -,559,0.274,0.683,0.478,0.633,0.878,0.808,0.498,,16977
Charlie Morton,- - -,657.1,0.274,0.618,0.459,0.503,0.825,0.736,0.538,,4676
Max Fried,ATL,336,0.273,0.649,0.465,0.518,0.853,0.757,0.509,,13743
Nick Pivetta,- - -,478,0.273,0.648,0.469,0.594,0.85,0.779,0.524,,15454
Brandon Woodruff,MIL,373,0.273,0.68,0.493,0.585,0.831,0.769,0.541,,16162
Rick Porcello,- - -,628,0.272,0.662,0.484,0.69,0.871,0.825,0.543,,2717
Anthony DeSclafani,- - -,430.2,0.272,0.653,0.471,0.547,0.875,0.785,0.521,,13050
Carlos Rodon,CHW,327,0.272,0.657,0.467,0.555,0.83,0.751,0.508,,16137
Trevor Bauer,- - -,740.2,0.272,0.619,0.444,0.5,0.839,0.734,0.495,,12703
Dan Straily,- - -,337.1,0.271,0.674,0.477,0.575,0.849,0.773,0.51,,9460
Merrill Kelly,ARI,331.2,0.271,0.655,0.475,0.613,0.865,0.797,0.531,,11156
Mike Minor,- - -,533.1,0.271,0.661,0.478,0.628,0.824,0.772,0.53,,10021
Danny Duffy,KCR,548,0.27,0.662,0.477,0.558,0.852,0.773,0.527,,3542
Tyler Glasnow,- - -,318.2,0.27,0.634,0.457,0.424,0.837,0.718,0.515,,14374
Felix Hernandez,SEA,308.1,0.27,0.628,0.448,0.605,0.895,0.807,0.495,,4772
Clayton Richard,- - -,401.1,0.27,0.65,0.466,0.62,0.9,0.822,0.515,,3551
Chase Anderson,- - -,487,0.269,0.67,0.474,0.649,0.837,0.785,0.512,,6895
Mike Clevinger,- - -,481.2,0.269,0.641,0.451,0.514,0.798,0.712,0.49,,12808
Jason Vargas,- - -,420.1,0.267,0.61,0.432,0.628,0.83,0.765,0.482,,8044
Jakob Junis,KCR,491.1,0.267,0.627,0.458,0.553,0.882,0.792,0.53,,13619
Brad Keller,KCR,439.2,0.266,0.656,0.457,0.599,0.898,0.809,0.489,,15734
Cole Hamels,- - -,483.2,0.265,0.673,0.47,0.55,0.841,0.76,0.503,,4972
Kyle Freeland,COL,575.2,0.264,0.644,0.455,0.649,0.881,0.814,0.502,,16256
Sonny Gray,- - -,573.1,0.264,0.612,0.429,0.488,0.858,0.739,0.476,,12768
Martin Perez,- - -,567,0.263,0.659,0.457,0.67,0.889,0.824,0.488,,6902
Mike Fiers,- - -,574,0.262,0.641,0.462,0.69,0.872,0.823,0.527,,7754
Jeff Samardzija,SFG,450.1,0.262,0.672,0.479,0.675,0.856,0.81,0.53,,3254
Marcus Stroman,- - -,599.1,0.262,0.646,0.453,0.531,0.874,0.775,0.497,,13431
Tyler Anderson,- - -,435,0.262,0.689,0.494,0.587,0.825,0.768,0.543,,12880
Marco Estrada,- - -,353.1,0.262,0.697,0.485,0.711,0.813,0.786,0.512,,1118
Vince Velasquez,PHI,427.2,0.26,0.667,0.474,0.597,0.833,0.771,0.526,,11189
Drew Pomeranz,- - -,300.1,0.259,0.629,0.437,0.634,0.862,0.791,0.479,,11426
Brett Anderson,- - -,415.2,0.258,0.651,0.454,0.66,0.901,0.832,0.498,,8223
Luke Weaver,- - -,341,0.258,0.658,0.469,0.609,0.843,0.782,0.527,,16918
Zach Davies,- - -,583.2,0.257,0.629,0.429,0.668,0.885,0.816,0.464,,13183
Rich Hill,- - -,460,0.256,0.607,0.457,0.604,0.824,0.771,0.573,,4806
Tanner Roark,- - -,571.1,0.256,0.652,0.453,0.642,0.856,0.795,0.497,,8753
Wade Miley,- - -,520.1,0.256,0.662,0.435,0.635,0.866,0.79,0.441,,8779
Carlos Martinez,STL,407.2,0.256,0.64,0.465,0.564,0.862,0.788,0.546,,11682
Jose Quintana,- - -,565.2,0.255,0.619,0.435,0.596,0.891,0.803,0.494,,11423
Julio Teheran,- - -,570,0.255,0.654,0.449,0.616,0.85,0.782,0.486,,6797
Jon Lester,- - -,665.1,0.254,0.66,0.449,0.609,0.869,0.793,0.48,,4930
Reynaldo Lopez,CHW,449.2,0.253,0.678,0.479,0.646,0.839,0.791,0.533,,16400
Jake Arrieta,- - -,595.1,0.253,0.606,0.437,0.654,0.882,0.819,0.522,,4153
Jon Gray,COL,564.1,0.253,0.634,0.455,0.458,0.857,0.753,0.532,,14916
Jose Urena,- - -,506.1,0.252,0.674,0.46,0.669,0.867,0.812,0.493,,11589
Michael Wacha,- - -,446,0.251,0.681,0.479,0.634,0.848,0.796,0.53,,14078
Joey Lucchesi,- - -,330.1,0.251,0.643,0.447,0.509,0.857,0.759,0.5,,19320
Lance Lynn,- - -,725.2,0.25,0.688,0.472,0.608,0.828,0.771,0.508,,2520
Gio Gonzalez,- - -,470.1,0.247,0.634,0.424,0.607,0.855,0.777,0.459,,7448
Chris Bassitt,OAK,363.2,0.245,0.64,0.467,0.627,0.856,0.804,0.563,,12304
James Shields,CHW,321,0.244,0.662,0.449,0.575,0.845,0.77,0.491,,7059
Adam Wainwright,STL,517.2,0.244,0.594,0.427,0.591,0.891,0.809,0.521,,2233
Matt Harvey,- - -,388.2,0.242,0.657,0.468,0.638,0.866,0.813,0.545,,11713
Mike Foltynewicz,- - -,561.1,0.241,0.646,0.456,0.6,0.85,0.788,0.532,,10811
Taijuan Walker,- - -,315,0.239,0.618,0.439,0.648,0.859,0.805,0.527,,11836
Andrew Cashner,- - -,446.1,0.239,0.648,0.443,0.69,0.894,0.839,0.499,,8782
Derek Holland,- - -,361,0.237,0.625,0.436,0.627,0.851,0.792,0.514,,4141
Eric Lauer,- - -,319.1,0.236,0.664,0.468,0.634,0.869,0.814,0.541,,19316
Steven Matz,- - -,487,0.235,0.626,0.449,0.608,0.849,0.791,0.547,,13361
Jhoulys Chacin,- - -,479.1,0.229,0.606,0.425,0.606,0.876,0.806,0.519,,2608
Aaron Sanchez,- - -,300.2,0.229,0.634,0.431,0.616,0.864,0.798,0.498,,11490
Antonio Senzatela,COL,476.1,0.221,0.656,0.448,0.619,0.894,0.829,0.521,,15488
Chad Kuhl,PIT,340,0.22,0.636,0.429,0.557,0.849,0.775,0.502,,14975
