"Name","Team","IP","vFA","vFC","vFS","vSI","vCH","vSL","vCU","vCS","vKN","vSB","playerid"
"Noah Syndergaard","NYM","382.1","97.9","","","97.7","90.9","90.9","82.0","","","","11762"
"Luis Severino","NYY","396.2","97.6","95.2","","","87.8","88.1","97.9","","","","15890"
"Nathan Eovaldi","- - -","318.1","97.3","92.8","88.1","96.0","","86.8","79.5","","","","9132"
"Jacob deGrom","NYM","782.1","97.0","","92.2","95.5","89.8","91.6","82.7","","","","10954"
"Gerrit Cole","- - -","808.2","96.9","97.6","","95.9","88.9","88.8","82.4","","","","13125"
"Tyler Glasnow","- - -","318.2","96.8","","","94.8","90.4","87.8","82.8","","","","14374"
"Luis Castillo","CIN","628.1","96.7","","","96.6","87.3","85.3","89.9","","","","15689"
"Zack Wheeler","- - -","660.2","96.6","","90.0","96.4","89.0","90.8","80.2","","","","10310"
"Frankie Montas","OAK","318.2","96.5","","87.1","96.0","87.7","87.6","96.0","","","","14309"
"Sandy Alcantara","MIA","393.0","96.3","93.1","","96.2","90.4","87.2","81.9","","","","18684"
"Walker Buehler","LAD","484.0","96.3","92.1","","96.2","90.8","86.2","80.6","","","","19374"
"Brandon Woodruff","MIL","373.0","96.1","95.2","","96.3","86.5","87.5","83.4","","","","16162"
"Mike Foltynewicz","- - -","561.1","95.6","90.7","","95.3","86.8","85.7","79.6","","","","10811"
"Michael Fulmer","DET","337.1","95.6","89.2","","95.7","87.9","87.8","78.4","","","","13218"
"James Paxton","- - -","468.2","95.6","88.5","","94.8","85.4","87.8","81.0","","","","11828"
"Carlos Martinez","STL","407.2","95.5","90.8","","93.8","87.0","84.1","78.8","","","","11682"
"Jon Gray","COL","564.1","95.4","","","94.6","87.1","88.1","79.2","","","","14916"
"Reynaldo Lopez","CHW","449.2","95.4","86.1","","93.5","83.8","83.8","77.1","","","","16400"
"Blake Snell","- - -","547.1","95.4","","93.0","93.9","87.3","87.2","80.7","","","","13543"
"German Marquez","COL","732.0","95.4","","83.4","94.3","86.3","86.6","83.2","","","","15038"
"Jose Urena","- - -","506.1","95.4","89.4","","95.5","89.4","85.6","94.4","","","","11589"
"Charlie Morton","- - -","657.1","95.3","88.2","86.4","94.7","87.1","86.1","79.5","","","","4676"
"Justin Verlander","- - -","649.0","95.0","91.9","","93.6","87.3","87.5","79.8","","","","8700"
"Chris Archer","- - -","471.1","95.0","94.8","","94.4","87.1","88.6","82.4","","","","6345"
"Jameson Taillon","- - -","450.0","95.0","91.0","","95.2","88.2","89.0","81.8","","","","11674"
"Stephen Strasburg","WSN","541.0","95.0","","","93.7","88.3","89.1","81.7","","","","10131"
"Chad Kuhl","PIT","340.0","94.9","","81.9","95.3","89.1","88.3","82.0","","","","14975"
"Nick Pivetta","- - -","478.0","94.7","88.4","","94.5","87.2","85.2","79.8","","","","15454"
"Chris Sale","BOS","519.2","94.7","93.3","94.7","92.7","86.5","79.6","81.9","","","","10603"
"Yu Darvish","- - -","592.0","94.6","89.7","89.4","94.1","89.7","84.5","76.4","69.1","","","13074"
"Max Scherzer","WSN","766.0","94.5","89.4","","95.3","84.6","85.7","78.0","","","","3137"
"Kevin Gausman","- - -","624.2","94.5","","83.7","87.9","84.9","82.3","80.9","","","","14107"
"Anthony DeSclafani","- - -","430.2","94.5","","","94.3","88.5","88.0","82.8","","","","13050"
"Trevor Bauer","- - -","740.2","94.3","85.7","85.4","94.1","86.8","81.2","79.1","","79.4","","12703"
"Lance McCullers Jr.","HOU","391.1","94.3","89.6","","94.1","87.2","86.0","85.3","","","","14120"
"Michael Wacha","- - -","446.0","94.2","89.9","","93.3","86.7","91.4","76.1","","","","14078"
"Zach Eflin","PHI","512.0","94.2","89.8","","93.0","86.5","87.0","78.0","","","","13774"
"Carlos Carrasco","CLE","519.2","94.1","90.1","","93.2","88.2","85.0","82.8","","","","6632"
"Antonio Senzatela","COL","476.1","94.1","93.9","","94.5","86.4","84.5","78.7","","","","15488"
"Jack Flaherty","STL","470.0","94.1","83.1","94.8","91.9","86.5","84.4","77.7","","","","17479"
"Vince Velasquez","PHI","427.2","94.1","89.6","","92.6","88.6","85.4","82.0","","","","11189"
"Miles Mikolas","STL","388.2","94.0","","","93.6","88.2","87.6","78.4","","","","9803"
"Matt Harvey","- - -","388.2","94.0","","95.7","93.3","86.4","88.1","81.5","","","","11713"
"Mike Clevinger","- - -","481.2","94.0","88.0","","79.2","87.5","80.6","76.4","","","","12808"
"Lance Lynn","- - -","725.2","93.9","88.5","","92.2","86.1","86.0","80.9","","","","2520"
"Brad Keller","KCR","439.2","93.9","","","93.1","88.8","85.4","93.5","","","","15734"
"Carlos Rodon","CHW","327.0","93.9","94.1","","93.3","84.9","85.3","76.9","","","","16137"
"Robbie Ray","- - -","620.2","93.8","","91.3","92.6","87.1","85.4","82.1","","","","11486"
"Taijuan Walker","- - -","315.0","93.8","","88.7","93.3","","86.0","75.8","","","","11836"
"Chris Bassitt","OAK","363.2","93.8","88.3","","93.0","84.9","76.0","70.7","","","","12304"
"Aaron Sanchez","- - -","300.2","93.7","","","93.9","88.0","85.5","78.2","","","","11490"
"Luke Weaver","- - -","341.0","93.7","87.6","","92.6","85.0","87.3","80.5","","","","16918"
"Yusei Kikuchi","SEA","312.0","93.7","91.8","","","85.6","85.0","75.1","","","","20633"
"Pablo Lopez","MIA","328.1","93.7","91.2","","93.2","87.0","","79.6","","","","17085"
"Jose Berrios","MIN","714.2","93.7","","89.7","93.1","83.8","88.2","82.0","","","","14168"
"Andrew Cashner","- - -","446.1","93.7","88.2","","92.5","84.4","84.9","81.0","","","","8782"
"Lucas Giolito","CHW","580.2","93.7","90.0","","92.5","81.7","84.8","79.1","","","","15474"
"Max Fried","ATL","336.0","93.6","","","92.9","84.3","84.3","74.5","","","","13743"
"Marcus Stroman","- - -","599.1","93.5","90.9","85.8","92.8","84.2","85.9","81.3","72.3","","","13431"
"Sonny Gray","- - -","573.1","93.4","91.1","","92.7","89.4","84.6","81.6","75.9","","","12768"
"Tyler Mahle","CIN","406.2","93.4","87.7","87.0","84.6","83.7","83.8","80.4","","","","16358"
"Martin Perez","- - -","567.0","93.4","88.9","","93.0","84.8","84.0","78.8","","","","6902"
"Shane Bieber","CLE","490.1","93.3","89.2","","93.9","88.0","84.9","82.7","","","","19427"
"Homer Bailey","- - -","368.2","93.3","","84.9","93.0","90.3","87.4","78.7","","","","8362"
"Eduardo Rodriguez","BOS","558.1","93.2","88.6","","92.9","87.2","83.9","92.5","","","","13164"
"Kyle Gibson","- - -","683.2","93.1","89.6","","92.8","85.1","84.4","80.1","","","","10123"
"Ivan Nova","- - -","554.0","93.1","86.2","","92.5","86.5","86.8","80.4","","","","1994"
"Danny Duffy","KCR","548.0","93.1","","","92.9","84.0","83.6","76.3","","","","3542"
"Joe Musgrove","- - -","499.2","93.0","89.5","","91.9","85.5","83.4","81.7","","","","12970"
"Chase Anderson","- - -","487.0","93.0","89.1","","92.6","82.8","","77.5","","","","6895"
"Aaron Nola","PHI","760.2","93.0","86.4","79.8","91.8","85.1","82.6","78.5","","","","16149"
"Jordan Lyles","- - -","356.0","92.9","","","92.2","85.9","86.1","81.0","","","","7593"
"Jeff Samardzija","SFG","450.1","92.8","90.2","84.0","93.4","82.7","86.9","80.0","","","","3254"
"David Price","- - -","362.2","92.8","88.7","","93.0","85.0","79.5","79.5","","","","3184"
"Michael Pineda","- - -","335.1","92.6","","","93.9","87.3","83.8","84.1","","","","5372"
"Alex Cobb","- - -","469.0","92.5","","86.6","92.1","87.0","82.2","81.3","","","","6562"
"Jake Arrieta","- - -","595.1","92.4","92.0","93.1","92.5","87.7","89.0","80.2","","","","4153"
"Corey Kluber","- - -","508.2","92.4","88.7","","92.2","85.4","83.9","83.6","","","","2429"
"J.A. Happ","- - -","618.0","92.2","85.5","","90.1","86.2","84.9","77.5","","","","7410"
"Kyle Freeland","COL","575.2","92.1","86.3","","91.3","86.1","80.7","88.4","","","","16256"
"Mike Minor","- - -","533.1","92.1","","","88.0","85.8","86.5","80.5","","","","10021"
"Jordan Montgomery","NYY","333.1","92.1","88.0","91.6","92.1","83.5","85.9","80.3","","","","16511"
"Andrew Heaney","LAA","451.2","92.1","","","92.1","83.7","91.8","79.1","","","","15423"
"Cole Hamels","- - -","483.2","92.1","88.0","","91.7","83.4","85.1","78.7","","","","4972"
"Merrill Kelly","ARI","331.2","92.0","90.3","","91.5","86.5","89.9","81.0","","","","11156"
"Tanner Roark","- - -","571.1","92.0","88.4","","91.8","83.5","85.5","75.3","","","","8753"
"Trevor Williams","- - -","559.0","91.9","91.9","","89.7","84.2","82.9","77.7","","","","16977"
"Jake Odorizzi","- - -","527.0","91.9","86.1","84.6","92.2","85.6","83.3","73.6","","","","6397"
"Masahiro Tanaka","NYY","561.1","91.9","89.3","87.1","91.2","83.5","83.8","76.5","","","","15764"
"Matthew Boyd","DET","620.1","91.8","","","90.3","79.9","80.6","73.4","","","","15440"
"Jose Quintana","- - -","565.2","91.8","79.3","","91.9","86.5","77.2","77.1","","","","11423"
"Kenta Maeda","- - -","517.1","91.8","85.7","84.7","90.7","83.8","83.2","76.4","","","","18498"
"Patrick Corbin","- - -","753.1","91.8","86.5","","91.6","82.1","81.2","70.6","","","","9323"
"Eric Lauer","- - -","319.1","91.7","88.3","87.0","91.9","85.7","83.3","77.0","","","","19316"
"Rick Porcello","- - -","628.0","91.7","","92.5","89.9","81.2","85.6","74.8","","","","2717"
"Derek Holland","- - -","361.0","91.6","82.2","","91.5","83.4","80.7","78.6","","","","4141"
"Dylan Bundy","- - -","633.2","91.6","","83.4","91.3","83.4","81.6","74.5","","","","12917"
"Jordan Zimmermann","DET","407.1","91.6","92.3","","91.0","86.7","86.6","80.6","","","","4505"
"Jakob Junis","KCR","491.1","91.5","90.2","","90.8","84.2","81.6","77.4","","","","13619"
"Tyler Anderson","- - -","435.0","91.5","86.7","90.9","90.0","81.5","","73.5","","","","12880"
"Johnny Cueto","SFG","362.2","91.5","","","90.8","82.3","84.4","79.7","","","","6893"
"Clayton Kershaw","LAD","678.1","91.4","","","92.1","85.8","87.8","73.6","","","","2036"
"Drew Pomeranz","- - -","300.1","91.3","86.8","","89.9","82.8","85.1","79.5","","","","11426"
"Sean Manaea","OAK","519.2","91.3","92.6","77.8","92.7","83.3","79.9","79.0","","","","15873"
"Brett Anderson","- - -","415.2","91.2","88.2","","90.3","83.0","82.1","76.0","","90.8","","8223"
"Wade Miley","- - -","520.1","91.1","87.1","","90.5","82.0","83.4","76.1","","","","8779"
"Madison Bumgarner","- - -","560.2","91.1","86.4","","88.6","83.8","90.1","78.3","70.5","","","5524"
"Clayton Richard","- - -","401.1","91.1","86.3","","90.3","84.0","80.7","82.3","","","","3551"
"Jon Lester","- - -","665.1","91.0","87.9","","89.7","84.2","89.2","74.8","","","","4930"
"CC Sabathia","NYY","408.0","90.9","89.2","","90.4","83.6","79.8","","","","","404"
"Jhoulys Chacin","- - -","479.1","90.8","88.0","84.7","90.7","83.5","79.8","76.4","","","","2608"
"Anibal Sanchez","- - -","437.0","90.6","88.1","70.8","90.7","83.6","83.8","77.2","","","","3284"
"Joey Lucchesi","- - -","330.1","90.6","89.9","81.9","90.5","79.1","90.6","75.8","","","","19320"
"Dan Straily","- - -","337.1","90.5","","83.6","90.5","83.8","83.9","74.5","","","","9460"
"Julio Teheran","- - -","570.0","90.5","","91.0","90.1","83.0","81.8","73.6","","","","6797"
"Felix Hernandez","SEA","308.1","90.5","88.1","","89.7","85.5","84.0","79.3","72.2","","","4772"
"Hyun-Jin Ryu","- - -","560.1","90.3","86.5","","90.0","80.3","78.7","72.8","65.3","","","14444"
"Gio Gonzalez","- - -","470.1","90.2","","","89.4","82.9","83.5","75.4","","","","7448"
"James Shields","CHW","321.0","90.0","86.4","","89.4","83.4","85.2","78.3","69.0","","","7059"
"Alex Wood","- - -","424.0","89.9","83.9","86.2","91.1","84.6","83.1","82.8","","","","13781"
"Adam Wainwright","STL","517.2","89.9","85.0","","89.9","82.9","","74.0","64.2","","","2233"
"Mike Fiers","- - -","574.0","89.8","85.8","83.1","89.5","","83.1","73.5","","88.9","","7754"
"Zack Greinke","- - -","806.1","89.7","85.7","76.9","90.3","86.8","83.7","71.7","66.6","","","1943"
"Dallas Keuchel","- - -","623.2","89.6","85.9","","88.6","79.4","78.5","90.4","","","","9434"
"Zach Davies","- - -","583.2","89.6","86.9","","89.1","79.5","81.2","74.3","","","","13183"
"Marco Gonzales","- - -","534.0","89.4","85.9","","89.3","82.1","88.9","76.9","","","","15467"
"Zack Godley","- - -","397.1","89.4","89.2","","90.5","82.8","86.1","82.1","","","","14862"
"Marco Estrada","- - -","353.1","89.3","85.8","","76.7","77.3","90.8","77.1","","","","1118"
"Rich Hill","- - -","460.0","89.2","84.5","","85.9","82.1","77.1","73.6","65.6","","","4806"
"Mike Leake","- - -","568.2","88.8","87.7","","89.3","84.0","80.5","78.5","","","","10130"
"Steven Matz","- - -","487.0","88.6","","","93.8","84.6","89.0","78.5","","","","13361"
"Kyle Hendricks","CHC","714.1","87.1","72.2","","86.7","79.1","78.5","72.2","","","","12049"
"Jason Vargas","- - -","420.1","85.1","78.7","","85.6","79.6","","72.1","","","","8044"
